Dish,Calories (kcal),Sugar (g),Protein (g),Carbohydrate (g),Fiber (g),Sodium (mg)
Biryani,160,1.5,6.0,22.5,1.0,200
Butter Chicken,225,2.5,12.5,25.0,0.75,300
Chole Bhature,260,4.0,9.0,27.5,1.5,250
Dosa,90,0.5,2.0,15.0,0.5,150
Samosa,66,1.0,1.5,10.0,1.0,175
Pav Bhaji,200,2.0,4.0,20.0,1.25,220
Pani Puri,25,2.5,1.0,7.5,1.5,130
Dal Makhani,160,1.5,7.0,19.0,1.2,180
Paneer Tikka,140,1.0,6.0,12.5,1.8,170
Tandoori Chicken,110,0.5,11.0,5.0,0.5,200
Aloo Paratha,150,1.5,3.5,20.0,1.4,210
Rogan Josh,200,2.0,10.0,22.5,1.1,230
Malai Kofta,175,2.0,8.0,19.0,1.0,220
Chicken Tikka,135,1.0,9.0,14.0,1.2,190
Idli,75,0.5,2.5,17.5,0.8,120
Vada Pav,145,1.5,3.0,21.0,1.1,150
Palak Paneer,155,1.5,7.0,18.0,1.5,200
Gulab Jamun,90,6.0,1.5,15.0,0.5,250
Jalebi,75,10.0,0.5,25.0,0.4,240
Kadai Paneer,170,2.0,6.0,20.0,1.3,210
Kofta Curry,145,1.5,5.0,17.5,1.2,180
Momos,60,0.5,4.0,11.0,0.5,160
Misal Pav,125,2.0,6.0,19.0,1.0,200
Poha,100,0.5,2.0,20.0,0.9,140
Upma,110,1.0,2.5,17.5,1.2,170
Hyderabadi Haleem,190,1.5,9.0,22.5,1.3,230
Pesarattu,130,0.5,4.0,19.0,1.0,180
Rasam,45,0.5,1.0,6.0,0.7,110
Bhindi Masala,75,1.0,3.0,14.0,0.9,160
Egg Curry,150,0.5,7.5,17.5,1.1,200
Kadhi Pakora,155,1.5,6.0,20.0,1.0,210
Dal Fry,125,0.5,5.0,17.5,0.9,170
Fish Curry,200,0.5,12.5,25.0,1.5,250
Prawn Masala,150,0.5,11.0,20.0,1.1,190
Veg Biryani,135,0.5,5.0,19.0,1.0,180
Aloo Gobi,100,0.5,2.0,15.0,0.8,140
Chana Masala,145,1.0,4.0,17.5,1.0,200
Kashmiri Pulao,160,1.5,3.0,16.0,1.1,180
Pav Sandwich,90,1.0,2.5,12.5,0.9,120
Chicken Curry,175,1.0,10.0,25.0,1.2,230
Shahi Paneer,185,2.0,7.0,22.5,1.3,210
Baingan Bharta,105,1.0,2.5,15.0,0.7,140
Methi Thepla,95,0.5,3.0,17.5,1.0,160
Litti Chokha,110,1.0,4.0,20.0,1.1,180
Pongal,115,0.5,2.5,15.0,0.9,150
Vegetable Kurma,100,1.0,2.0,14.0,0.8,130
Pesarattu Dosa,110,0.5,3.0,17.0,1.0,160
Besan Chilla,90,0.5,6.0,21.0,1.2,190
Chettinad Chicken,170,1.5,9.0,25.0,1.4,220
Khandvi,60,1.0,2.0,10.0,0.6,140
Undhiyu,115,1.5,4.0,20.0,1.1,190
Chilli Paneer,140,4.0,4.5,19.0,1.3,200
Gajar Halwa,75,5.0,2.5,25.0,0.8,240
Sev Puri,60,2.0,1.0,15.0,0.7,130
Dhokla,100,1.0,1.5,20.0,1.0,180
Nihari,160,0.5,7.5,19.0,1.1,200
Chicken 65,150,0.5,10.0,22.5,1.3,250
Pesarattu Upma,120,0.5,4.0,17.5,0.9,200
Malabar Parotta,160,0.5,9.0,25.0,1.5,230
Paneer Bhurji,135,1.0,6.0,20.0,1.2,210
Phirni,75,1.0,3.0,15.0,0.7,150
Egg Bhurji,105,0.5,4.0,19.0,0.9,180
Keema Pav,130,1.0,5.0,22.5,1.0,220
Vegetable Pakora,80,1.0,2.0,16.0,0.8,150
Banarasi Kachori,170,1.0,6.0,25.0,1.4,230
Chilli Chicken,155,1.5,9.0,22.5,1.1,210
Rajma Chawal,160,1.5,10.0,24.0,1.5,240
Kuttu Paratha,110,0.5,2.0,15.0,0.9,140
Appam,65,0.5,2.5,12.5,0.8,160
